fixture_id,pdf,page_no,layout,confidence,reason
test16_carrier_5h_blowup_diagram,Test/Test 16/5H _blowUpDiagram (1).pdf,33,index_page,medium,Carrier chart/history/cross-reference page
test16_carrier_5h_blowup_diagram,Test/Test 16/5H _blowUpDiagram (1).pdf,34,index_page,medium,Carrier chart/history/cross-reference page
test16_carrier_5h_blowup_diagram,Test/Test 16/5H _blowUpDiagram (1).pdf,35,index_page,medium,Carrier chart/history/cross-reference page
test16_carrier_5h_blowup_diagram,Test/Test 16/5H _blowUpDiagram (1).pdf,36,index_page,medium,Carrier chart/history/cross-reference page
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,61,index_page,high,rotated Boll matrix/cross-reference list
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,62,index_page,high,rotated Boll matrix/cross-reference list
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,78,index_page,high,Boll NW matrix pages
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,79,index_page,high,Boll NW matrix pages
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,80,index_page,high,Boll NW matrix pages
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,81,index_page,high,Boll NW matrix pages
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,82,index_page,high,Boll NW matrix pages
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,83,index_page,high,Boll NW matrix pages
test18_main_engine_accessories,Test/Test 18/Extracted pages from Main engine assessories (1).pdf,84,index_page,high,Boll NW matrix pages
